Player,Season_x,Age_x,Tm_x,Lg_x,G_x,MP_x,Ht,GS_x,MP.1_x,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%_x,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,dist,spd,tchs,pass,sast,ftast,dfgm,dfga,rimd
Nick Collison,2015-16,35,OKC,NBA,59,11.8,6-10,4,699,2.6,5.6,2.6,5.5,0,0.1,1.2,1.7,3.5,5.3,8.8,2.7,0.8,0.8,2.6,5.5,6.3,0.459,0.467,0,0.459,0.697,0.498,7.7,0.018,0.303,11.2,15.2,13.3,9.6,1.1,1.7,28.8,10.6,99,107,0.1,0.7,0.8,0.053,-2.5,1.3,-1.2,0.1,0.38134751773,2.02425531915,7.33333333333,5.74468085106,0.063829787234,0.063829787234,0.468085106383,0.985815602837,1.22222222222
James Anderson,2015-16,26,SAC,NBA,51,14.1,6-6,15,721,3.3,8.9,2.2,4.6,1.1,4.3,1.1,1.4,0.6,3.6,4.3,2,1,0.7,2.1,2.7,8.9,0.376,0.478,0.267,0.441,0.759,0.469,6,0.483,0.163,2,10.9,6.5,7.7,1.4,1.6,18,13.7,87,111,-0.6,0.4,-0.3,-0.017,-3.9,-0.3,-4.2,-0.4,0.53404040404,2.22202020202,8.0404040404,5.36363636364,0.151515151515,0.030303030303,0.242424242424,0.545454545455,0.888888888889
Charlie Villanueva,2015-16,31,DAL,NBA,62,10.7,6-11,4,665,6.8,17.7,4.2,8.4,2.5,9.3,1.2,1.3,1.3,6.9,8.2,1.3,1,0.8,1.7,3.8,17.3,0.382,0.503,0.273,0.454,0.917,0.473,11.9,0.526,0.073,4,21.1,12.5,6.2,1.4,1.9,8.4,25.3,92,105,-0.6,0.8,0.2,0.016,-2.8,-1.8,-4.6,-0.4,0.548372093023,3.08360465116,13.6976744186,8.94186046512,0.0232558139535,0.0348837209302,0.581395348837,1.03488372093,1.42857142857
Cole Aldrich,2015-16,27,LAC,NBA,60,13.3,6-11,5,800,6,10.1,6,10.1,0,0,2.7,3.8,3.9,9.1,13,2.3,2.1,3.1,2.9,6.3,14.8,0.596,0.596,,0.596,0.714,0.626,21.3,0,0.373,11.9,27.1,19.6,10,2.9,6.7,19.6,18.4,113,94,1.4,2,3.5,0.209,-1,5.8,4.8,1.4,0.555779816514,2.57669724771,16.3211009174,12.7889908257,0.0550458715596,0.0183486238532,1.29357798165,2.62385321101,2.31147540984
Marreese Speights,2015-16,28,GSW,NBA,72,11.6,6-10,0,832,8.5,19.7,7.5,17,1,2.7,4.1,4.9,3.3,7,10.3,2.6,0.8,1.5,2.9,5.1,22.2,0.432,0.439,0.387,0.458,0.825,0.506,17.1,0.136,0.25,10.6,19.8,15.5,11.4,1.1,3,11.5,29.7,102,103,0.5,1.2,1.8,0.102,-2.9,-1.1,-3.9,-0.4,0.558220338983,3.14694915254,18.0423728814,11.5423728814,0.161016949153,0.0338983050847,1.07627118644,2.20338983051,1.69333333333
Josh Smith,2015-16,30,TOT,NBA,55,16,6-9,7,880,5.2,14.3,3.5,8.4,1.7,5.9,1.5,2.7,2.1,5.8,7.9,3.7,1.4,1.9,3.2,4.8,13.6,0.364,0.417,0.287,0.423,0.552,0.439,10.6,0.41,0.192,6.4,17.4,11.9,15.9,1.9,4.3,16.9,22.9,88,103,-1.2,1.2,0,0,-3.6,1.6,-2,0,0.565096153846,2.19586538462,17.3269230769,12.0961538462,0.192307692308,0.105769230769,0.884615384615,1.94230769231,1.7358490566
Shabazz Napier,2015-16,24,ORL,NBA,55,10.9,6-1,0,600,4.1,12.1,2,5.8,2,6.2,2,2.7,0.5,2.8,3.3,5.8,1.4,0.1,2.8,2.3,12.2,0.338,0.351,0.327,0.423,0.733,0.46,9.6,0.517,0.224,1.6,8.6,5.1,23.1,1.9,0.1,17.2,19.7,93,109,-0.3,0.4,0.1,0.004,-2.3,-2.6,-4.9,-0.4,0.586315789474,3.27789473684,18.0526315789,13.8421052632,0.355263157895,0.0657894736842,0.197368421053,0.302631578947,0.9375
Tyler Zeller,2015-16,26,BOS,NBA,60,11.8,7-0,3,710,7,14.7,7,14.7,0,0,4.5,5.5,3.1,5.9,9,1.5,0.5,1.1,2.3,4.9,18.5,0.476,0.476,,0.476,0.815,0.539,15.4,0,0.372,9.1,17.6,13.3,6.6,0.7,2.4,12,23,106,105,0.8,0.9,1.7,0.114,-3.2,-1.1,-4.4,-0.4,0.590568181818,3.01159090909,14.1136363636,9.25,0.170454545455,0.0681818181818,1.30681818182,2.44318181818,2.16981132075
Kelly Oubre,2015-16,20,WAS,NBA,63,10.7,6-7,9,671,4.8,11.3,3.5,7.1,1.3,4.2,1.7,2.6,1.3,5.8,7.1,0.7,1.2,0.4,1.8,5.4,12.7,0.427,0.492,0.316,0.486,0.633,0.507,8.2,0.374,0.232,4.1,18.4,11.1,2.8,1.6,0.8,12.8,17.4,93,106,-0.3,0.7,0.4,0.031,-4.3,-1.6,-5.8,-0.7,0.591463414634,3.25841463415,9.82926829268,6.19512195122,0.121951219512,0.0365853658537,0.463414634146,0.719512195122,1.15151515152
Cameron Payne,2015-16,21,OKC,NBA,57,12.2,6-3,1,698,5.9,14.3,4,8.6,1.9,5.7,1,1.2,0.5,3.9,4.4,5.6,1.9,0.3,2.3,4.1,14.6,0.41,0.467,0.324,0.475,0.792,0.49,12.9,0.399,0.086,1.5,11.2,6.6,22.5,2.6,0.7,13.2,20.3,104,105,0.6,0.8,1.4,0.093,-0.4,-0.9,-1.3,0.1,0.592947368421,3.12,17.7052631579,13.1263157895,0.221052631579,0.0736842105263,0.326315789474,0.547368421053,1
Amar'e Stoudemire,2015-16,33,MIA,NBA,52,14.7,6-10,36,762,5.9,10.4,5.9,10.4,0,0,2.4,3.2,3.1,7.4,10.5,1.3,0.9,1.9,2.2,4.3,14.2,0.566,0.566,,0.566,0.746,0.599,17.3,0,0.303,10,22.6,16.5,5.6,1.2,4.1,15.8,17.8,111,101,1.1,1.3,2.4,0.15,-1.7,1.4,-0.4,0.3,0.595638297872,2.58904255319,11.9255319149,8.04255319149,0.0744680851064,0.0106382978723,1.26595744681,2.47872340426,2.05172413793
Jeff Withey,2015-16,25,UTA,NBA,51,12.9,7-0,10,658,4.8,8.9,4.8,8.8,0,0.1,2.4,3.2,3.1,6.4,9.5,1.1,1.1,2.9,1.5,4.1,11.9,0.537,0.544,0,0.537,0.729,0.577,17.7,0.012,0.364,10,20.7,15.4,5,1.7,6.8,13,15.1,115,99,1.1,1.3,2.3,0.171,-2,3.7,1.7,0.6,0.598421052632,2.79486842105,15.25,12.0394736842,0.0657894736842,0.0131578947368,1.14473684211,2.64473684211,2.02325581395
