player_year,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,AST%,STL%,BLK%,USG%,WS/48,dist,tchs,pass,dfgm,dfga,label
Mike Miller/2014-15,0.3,0.8,1.6,5.0,0.2,0.2,0.2,4.5,2.4,0.7,0.2,9.0,1.0,0.5,8.9,0.028,0.54,11.0947368421,9.30526315789,0.263157894737,0.536842105263,7
Pablo Prigioni/2015-16,1.2,2.3,1.2,4.2,0.3,0.3,1.7,3.3,5.7,2.3,0.0,21.8,3.2,0.1,11.0,0.087,0.719666666667,21.2,17.9111111111,0.411111111111,0.622222222222,7
Davis Bertans/2016-17,1.5,2.7,3.1,7.7,1.2,1.5,1.0,3.4,2.0,0.9,1.2,8.3,1.3,2.8,15.7,0.135,0.7146875,14.5520833333,11.1041666667,0.90625,1.61458333333,4
Nick Collison/2015-16,2.6,5.5,0.0,0.1,1.2,1.7,3.5,5.3,2.7,0.8,0.8,9.6,1.1,1.7,10.6,0.053,0.38134751773,7.33333333333,5.74468085106,0.468085106383,0.985815602837,4
Luke Babbitt/2016-17,0.9,2.4,2.9,7.1,0.4,0.5,0.4,4.4,1.2,0.7,0.4,4.8,1.0,0.8,13.0,0.082,0.955853658537,21.756097561,17.5365853659,1.0243902439,1.81707317073,11
Pablo Prigioni/2014-15,1.0,1.9,1.7,5.0,1.1,1.2,0.9,2.7,5.1,2.4,0.0,21.5,3.4,0.1,11.6,0.092,1.14828282828,33.4848484848,28.1919191919,0.505050505051,0.89898989899,9
Anthony Tolliver/2015-16,0.8,1.6,2.6,7.3,0.8,1.3,1.0,5.1,1.4,0.7,0.4,5.6,1.0,0.9,12.4,0.1,1.10337209302,25.6860465116,20.7558139535,1.01162790698,1.95348837209,11
James Anderson/2015-16,2.2,4.6,1.1,4.3,1.1,1.4,0.6,3.6,2.0,1.0,0.7,7.7,1.4,1.6,13.7,-0.017,0.53404040404,8.0404040404,5.36363636364,0.242424242424,0.545454545455,5
Luke Babbitt/2014-15,1.4,3.3,2.6,5.0,0.6,0.8,0.5,4.3,1.0,0.7,0.5,4.3,1.1,1.0,12.4,0.092,0.735476190476,12.1785714286,9.2380952381,0.761904761905,1.33333333333,4
Allen Crabbe/2014-15,1.7,3.6,1.6,4.5,0.6,0.8,0.4,3.5,2.1,1.0,0.8,8.1,1.4,1.6,11.5,0.088,0.642839506173,10.3703703704,7.88888888889,0.283950617284,0.58024691358,4
Hedo Turkoglu/2014-15,1.2,2.5,3.1,7.1,0.3,0.6,0.3,4.8,1.9,1.0,0.4,7.5,1.4,0.8,14.2,0.081,0.534270833333,11.40625,8.52083333333,0.395833333333,0.916666666667,4
Brandon Rush/2015-16,1.6,3.5,2.2,5.4,0.6,1.0,0.7,5.5,1.9,0.7,0.8,7.0,0.9,1.6,12.5,0.09,0.822857142857,14.4857142857,10.980952381,0.561904761905,1.12380952381,4
Wesley Johnson/2016-17,2.0,3.6,1.3,5.2,0.5,0.8,1.2,6.9,1.0,1.3,1.3,3.9,1.8,3.0,12.5,0.051,0.680843373494,15.313253012,12.2168674699,0.771084337349,1.43373493976,2
Steve Blake/2015-16,1.5,3.2,1.9,5.5,0.6,0.7,0.3,2.9,7.3,0.9,0.2,29.5,1.2,0.4,14.6,0.053,0.703333333333,24.6203703704,19.8148148148,0.351851851852,0.583333333333,13
James Jones/2014-15,0.6,1.4,3.4,9.4,2.1,2.5,0.5,2.9,1.3,0.7,0.4,5.4,1.0,0.9,15.8,0.11,0.664077669903,13.2621359223,9.91262135922,0.699029126214,1.14563106796,4
Damjan Rudez/2014-15,1.7,3.2,2.4,5.8,0.6,0.8,0.3,1.3,1.8,0.6,0.2,7.9,0.8,0.4,13.8,0.061,0.887317073171,14.8414634146,10.7073170732,0.256097560976,0.536585365854,4
Denzel Valentine/2016-17,1.1,3.0,2.7,7.7,0.5,0.7,0.4,5.2,2.3,1.1,0.3,9.3,1.5,0.6,15.4,0.031,0.864457831325,14.5662650602,9.87951807229,0.650602409639,1.14457831325,4
Matt Bonner/2014-15,1.8,4.0,1.8,4.9,1.2,1.4,1.1,3.3,1.8,0.4,0.5,7.1,0.5,1.0,12.5,0.11,0.832325581395,18.1395348837,14.8023255814,0.96511627907,1.95348837209,10
Garrett Temple/2014-15,1.7,4.0,1.6,4.3,1.7,2.4,1.2,3.2,2.7,2.1,0.4,11.0,2.9,1.0,13.9,0.1,0.784714285714,14.9714285714,10.8571428571,0.257142857143,0.485714285714,4
Kyle Singler/2015-16,2.1,4.6,1.1,3.6,1.1,1.6,1.8,3.4,0.9,1.1,0.3,3.2,1.5,0.7,11.9,0.054,0.793333333333,10.0520833333,6.71875,0.729166666667,1.23958333333,6
Jimmer Fredette/2014-15,3.8,8.3,0.6,3.4,3.0,3.2,0.6,2.3,4.1,1.1,0.1,17.2,1.5,0.3,19.6,0.021,0.432441860465,8.77906976744,5.91860465116,0.127906976744,0.279069767442,5
DeAndre Liggins/2016-17,1.8,4.4,0.8,2.1,1.2,1.9,0.9,4.1,2.5,2.2,0.6,9.2,3.0,1.5,11.6,0.031,0.744935064935,13.5844155844,10.6233766234,0.428571428571,0.74025974026,4
Tayshaun Prince/2015-16,2.4,5.1,0.1,0.6,0.3,0.5,0.8,2.8,1.8,0.9,0.3,7.0,1.2,0.7,8.1,0.014,1.05384615385,16.1758241758,12.9120879121,0.681318681319,1.20879120879,10
Tomas Satoransky/2016-17,2.6,5.5,0.5,1.9,1.2,1.7,1.3,2.9,4.6,1.3,0.3,16.7,1.8,0.7,12.1,0.041,0.586842105263,13.1368421053,10.2842105263,0.494736842105,0.873684210526,13
Justin Holiday/2014-15,3.1,6.9,1.9,6.0,2.0,2.5,0.7,3.3,2.6,2.2,0.7,10.1,3.0,1.4,18.8,0.092,0.483663366337,8.86138613861,5.94059405941,0.247524752475,0.514851485149,5
